arm,run,iid,resolved,exit,steps,greps,in_tok,out_tok,reason_tok,wall_h,wall_death,edit_precision,edit_recall,n_model_files,n_gold_files,anchored_obs,anchored_chars,anchor_calls,anchor_anchored,anchor_not_ready,anchor_timeout,anchor_seconds
E,s1-arm-e3-r2-merged,django__django-19643,False,Submitted,106,30,8211557,65783,45591,3.5325,False,0.8333333333333334,0.5555555555555556,6,9,27,80548,17,27,0,0,12.15
E,s1-arm-e3-r2-merged,pandas-dev__pandas-61244,True,Submitted,50,23,2018889,27147,19542,0.8827777777777778,False,1.0,0.6666666666666666,2,3,36,48526,22,39,0,0,32.46
E,s1-arm-e3-r2-merged,pypa__pipenv-6373,True,Submitted,23,6,392542,9018,5170,0.23222222222222222,False,1.0,0.6,3,5,10,7745,7,10,0,0,4.19
E,s1-arm-e3-r2-merged,roboflow__supervision-1943,True,Submitted,37,19,914719,10492,4709,0.2561111111111111,False,1.0,0.9230769230769231,12,13,15,21364,19,18,0,0,9.16
E,s1-arm-e3-r2-merged,stanfordnlp__dspy-1801,,Submitted,42,11,1637094,31705,20645,1.1552777777777778,False,1.0,0.5714285714285714,4,7,17,31045,10,17,0,0,4.41
E,s1-arm-e3-r2-merged,stanfordnlp__dspy-8105,True,Submitted,36,13,958061,15232,5864,0.6016666666666667,False,1.0,1.0,4,4,10,20689,9,10,0,0,1.58
E,s1-arm-e3-r2-merged,stanfordnlp__dspy-9047,False,Submitted,14,8,97499,2600,916,0.10138888888888889,False,1.0,0.5,1,2,7,13090,4,7,0,0,3.1
E,s1-arm-e3-r2-merged,verl-project__verl-3915,True,Submitted,19,5,360950,8977,3947,0.30777777777777776,False,1.0,0.16666666666666666,2,12,4,5831,2,4,0,0,3.7300000000000004
E,s1-arm-e3-r2-merged,verl-project__verl-4185,True,Submitted,26,7,466422,10694,3891,0.3869444444444444,False,1.0,0.8571428571428571,6,7,10,13918,6,10,0,0,3.96
E,s1-arm-e3-r2-merged,vibrantlabsai__ragas-2333,True,Submitted,10,2,57290,2885,1357,0.06666666666666667,False,1.0,0.16666666666666666,1,6,4,2335,2,4,0,0,2.64
A,s1-arm-a8-r1,albumentations-team__albumentations-2337,True,Submitted,94,27,4740971,59031,32926,1.5227777777777778,False,1.0,0.5,2,4,0,0,0,0,0,0,0
A,s1-arm-a8-r1,albumentations-team__albumentations-2495,False,Submitted,167,61,17620895,105387,70010,3.063888888888889,False,0.5,0.2727272727272727,6,11,0,0,0,0,0,0,0
A,s1-arm-a8-r1,confident-ai__deepeval-2345,True,Submitted,23,12,353071,8401,3234,0.18916666666666668,False,1.0,0.8571428571428571,6,7,0,0,0,0,0,0,0
A,s1-arm-a8-r1,confident-ai__deepeval-c_08844c8,True,Submitted,74,30,3247839,33045,18860,0.7086111111111111,False,0.7272727272727273,1.0,22,16,0,0,0,0,0,0,0
A,s1-arm-a8-r1,confident-ai__deepeval-c_ce72651,True,Submitted,76,24,3391115,33586,20679,0.7438888888888889,False,0.9230769230769231,1.0,13,12,0,0,0,0,0,0,0
A,s1-arm-a8-r1,django__django-19643,False,Submitted,97,28,5465621,53117,35473,1.9819444444444445,False,0.8333333333333334,0.5555555555555556,6,9,0,0,0,0,0,0,0
A,s1-arm-a8-r1,google__adk-python-c_19315fe,False,Submitted,42,24,1054958,15602,8065,0.32166666666666666,False,1.0,1.0,3,3,0,0,0,0,0,0,0
A,s1-arm-a8-r1,google__adk-python-c_61adfcd,True,Submitted,13,6,95165,5827,2549,0.11833333333333333,False,1.0,1.0,4,4,0,0,0,0,0,0,0
A,s1-arm-a8-r1,google__langextract-239,,Submitted,129,40,11396181,72398,41524,1.3363888888888888,False,0.8125,0.65,16,20,0,0,0,0,0,0,0
A,s1-arm-a8-r1,huggingface__lerobot-2808,False,Submitted,32,6,777758,15728,8473,0.3016666666666667,False,1.0,0.2222222222222222,4,18,0,0,0,0,0,0,0
A,s1-arm-a8-r1,huggingface__transformers-38332,True,Submitted,23,6,247610,8899,4952,0.22972222222222222,False,1.0,1.0,10,10,0,0,0,0,0,0,0
A,s1-arm-a8-r1,huggingface__transformers-38788,,Submitted,81,48,3202820,34044,19398,0.6963888888888888,False,1.0,0.7142857142857143,5,7,0,0,0,0,0,0,0
A,s1-arm-a8-r1,hummingbot__hummingbot-c_1ce05af,True,Submitted,54,24,1649955,17876,8609,0.30777777777777776,False,1.0,1.0,4,4,0,0,0,0,0,0,0
A,s1-arm-a8-r1,icloud-photos-downloader__icloud_photos_downloader-c_f52826c,True,Submitted,23,6,369021,7987,3007,0.14777777777777779,False,1.0,1.0,5,5,0,0,0,0,0,0,0
A,s1-arm-a8-r1,langchain-ai__langchain-32996,False,Submitted,41,14,1179855,21496,11256,0.5677777777777778,False,1.0,0.5,2,4,0,0,0,0,0,0,0
A,s1-arm-a8-r1,mikf__gallery-dl-7872,False,Submitted,59,7,1599583,25286,11596,0.4811111111111111,False,1.0,0.5,2,4,0,0,0,0,0,0,0
A,s1-arm-a8-r1,optuna__optuna-6166,True,Submitted,60,14,3511292,42754,20609,0.6472222222222223,False,1.0,1.0,7,7,0,0,0,0,0,0,0
A,s1-arm-a8-r1,optuna__optuna-6197,True,Submitted,32,16,710037,11233,3859,0.1738888888888889,False,1.0,1.0,6,6,0,0,0,0,0,0,0
A,s1-arm-a8-r1,optuna__optuna-c_058e8bc,True,Submitted,11,9,85802,4667,2646,0.08944444444444444,False,1.0,0.0625,1,16,0,0,0,0,0,0,0
A,s1-arm-a8-r1,pandas-dev__pandas-61244,True,Submitted,59,19,1407431,20170,12723,0.4905555555555556,False,1.0,0.6666666666666666,2,3,0,0,0,0,0,0,0
A,s1-arm-a8-r1,pypa__pipenv-6373,True,Submitted,30,12,559094,13335,8475,0.28944444444444445,False,1.0,0.6,3,5,0,0,0,0,0,0,0
A,s1-arm-a8-r1,roboflow__supervision-1943,True,Submitted,60,31,2120868,21640,13306,0.5022222222222222,False,1.0,0.9230769230769231,12,13,0,0,0,0,0,0,0
A,s1-arm-a8-r1,stanfordnlp__dspy-1801,,Submitted,60,16,2492744,41816,25662,0.8413888888888889,False,1.0,0.5714285714285714,4,7,0,0,0,0,0,0,0
A,s1-arm-a8-r1,stanfordnlp__dspy-8105,True,Submitted,24,10,250899,6977,1686,0.12444444444444444,False,1.0,1.0,4,4,0,0,0,0,0,0,0
A,s1-arm-a8-r1,stanfordnlp__dspy-9047,False,Submitted,14,5,64151,1865,434,0.035277777777777776,False,1.0,0.5,1,2,0,0,0,0,0,0,0
A,s1-arm-a8-r1,stanfordnlp__dspy-9193,,Submitted,120,44,14819267,123794,79421,3.223333333333333,False,1.0,0.42857142857142855,6,14,0,0,0,0,0,0,0
A,s1-arm-a8-r1,verl-project__verl-3915,True,Submitted,25,6,553157,12510,6760,0.23722222222222222,False,1.0,0.16666666666666666,2,12,0,0,0,0,0,0,0
A,s1-arm-a8-r1,verl-project__verl-4185,True,Submitted,39,10,791327,13967,5380,0.2638888888888889,False,1.0,0.5714285714285714,4,7,0,0,0,0,0,0,0
A,s1-arm-a8-r1,vibrantlabsai__ragas-2333,True,Submitted,12,3,60717,3146,1245,0.04972222222222222,False,1.0,0.16666666666666666,1,6,0,0,0,0,0,0,0
A,s1-arm-a8-r2,albumentations-team__albumentations-2337,False,Submitted,103,31,6141446,77109,45037,4.385833333333333,False,1.0,0.5,2,4,0,0,0,0,0,0,0
A,s1-arm-a8-r2,albumentations-team__albumentations-2495,False,Submitted,127,48,10843855,101224,65230,2.944722222222222,False,0.5,0.2727272727272727,6,11,0,0,0,0,0,0,0
A,s1-arm-a8-r2,confident-ai__deepeval-2345,True,Submitted,38,9,1018303,20211,9089,0.4236111111111111,False,0.8571428571428571,0.8571428571428571,7,7,0,0,0,0,0,0,0
A,s1-arm-a8-r2,confident-ai__deepeval-c_08844c8,True,Submitted,78,33,3723741,36274,22323,0.8436111111111111,False,0.7272727272727273,1.0,22,16,0,0,0,0,0,0,0
A,s1-arm-a8-r2,confident-ai__deepeval-c_ce72651,True,Submitted,36,16,1028770,10605,5548,0.2577777777777778,False,1.0,1.0,12,12,0,0,0,0,0,0,0
A,s1-arm-a8-r2,django__django-19643,False,Submitted,83,21,4757053,57623,38523,2.653611111111111,False,0.5714285714285714,0.4444444444444444,7,9,0,0,0,0,0,0,0
A,s1-arm-a8-r2,google__adk-python-c_19315fe,False,Submitted,39,22,767175,12749,5289,0.27444444444444444,False,0.75,1.0,4,3,0,0,0,0,0,0,0
A,s1-arm-a8-r2,google__adk-python-c_61adfcd,True,Submitted,21,11,189937,6733,2643,0.135,False,1.0,1.0,4,4,0,0,0,0,0,0,0
A,s1-arm-a8-r2,google__langextract-239,,Submitted,97,30,6099387,57495,32473,1.1502777777777777,False,0.8125,0.65,16,20,0,0,0,0,0,0,0
A,s1-arm-a8-r2,huggingface__lerobot-2808,True,Submitted,35,16,815630,14425,6785,0.2836111111111111,False,1.0,0.2777777777777778,5,18,0,0,0,0,0,0,0
A,s1-arm-a8-r2,huggingface__transformers-38332,False,Submitted,151,80,12749556,78388,48134,2.0413888888888887,False,1.0,0.7,7,10,0,0,0,0,0,0,0
A,s1-arm-a8-r2,huggingface__transformers-38788,,Submitted,83,32,3431611,30728,17310,0.8175,False,1.0,0.7142857142857143,5,7,0,0,0,0,0,0,0
A,s1-arm-a8-r2,hummingbot__hummingbot-c_1ce05af,True,Submitted,61,18,1926515,20355,10499,0.39944444444444444,False,1.0,1.0,4,4,0,0,0,0,0,0,0
A,s1-arm-a8-r2,icloud-photos-downloader__icloud_photos_downloader-c_f52826c,True,Submitted,17,4,217029,7583,2745,0.1175,False,1.0,1.0,5,5,0,0,0,0,0,0,0
A,s1-arm-a8-r2,langchain-ai__langchain-32996,False,Submitted,54,20,1961612,31933,20015,0.7116666666666667,False,0.5,0.25,2,4,0,0,0,0,0,0,0
A,s1-arm-a8-r2,mikf__gallery-dl-7872,False,Submitted,70,28,2264012,31554,17443,0.8583333333333333,False,1.0,0.5,2,4,0,0,0,0,0,0,0
A,s1-arm-a8-r2,optuna__optuna-6166,True,Submitted,59,12,3120920,36515,20274,1.2216666666666667,False,1.0,1.0,7,7,0,0,0,0,0,0,0
A,s1-arm-a8-r2,optuna__optuna-6197,True,Submitted,31,11,687857,11019,4040,0.18916666666666668,False,1.0,1.0,6,6,0,0,0,0,0,0,0
A,s1-arm-a8-r2,optuna__optuna-c_058e8bc,True,Submitted,14,7,119018,5314,3181,0.11333333333333333,False,1.0,0.0625,1,16,0,0,0,0,0,0,0
A,s1-arm-a8-r2,pandas-dev__pandas-61244,True,Submitted,90,36,3239587,25457,15095,0.6575,False,1.0,0.6666666666666666,2,3,0,0,0,0,0,0,0
A,s1-arm-a8-r2,pypa__pipenv-6373,True,Submitted,23,6,402619,11458,6608,0.2652777777777778,False,1.0,0.6,3,5,0,0,0,0,0,0,0
A,s1-arm-a8-r2,roboflow__supervision-1943,True,Submitted,49,25,1463618,16547,8167,0.3877777777777778,False,1.0,0.9230769230769231,12,13,0,0,0,0,0,0,0
A,s1-arm-a8-r2,stanfordnlp__dspy-1801,,Submitted,56,15,2120198,32758,18817,0.6452777777777777,False,1.0,0.5714285714285714,4,7,0,0,0,0,0,0,0
A,s1-arm-a8-r2,stanfordnlp__dspy-8105,True,Submitted,28,9,510441,9858,4505,0.17777777777777778,False,1.0,1.0,4,4,0,0,0,0,0,0,0
A,s1-arm-a8-r2,stanfordnlp__dspy-9047,False,Submitted,15,3,93027,2813,974,0.057777777777777775,False,1.0,0.5,1,2,0,0,0,0,0,0,0
A,s1-arm-a8-r2,stanfordnlp__dspy-9193,,Submitted,139,38,18205996,100706,59151,2.7577777777777777,False,1.0,0.42857142857142855,6,14,0,0,0,0,0,0,0
A,s1-arm-a8-r2,verl-project__verl-3915,False,Submitted,29,12,803815,17025,8216,0.31083333333333335,False,1.0,0.25,3,12,0,0,0,0,0,0,0
A,s1-arm-a8-r2,verl-project__verl-4185,True,Submitted,35,13,714602,12358,5577,0.22333333333333333,False,1.0,0.8571428571428571,6,7,0,0,0,0,0,0,0
A,s1-arm-a8-r2,vibrantlabsai__ragas-2333,True,Submitted,12,4,62299,2496,857,0.04611111111111111,False,0.5,0.16666666666666666,2,6,0,0,0,0,0,0,0
